hour, windN, windE, gust, visibility, cloudCover, temp, dewpoint, baro, flightRate, mr00, mr15, mr30, mr60
4.866666666666667, 2.736161146605352, 7.5175409662872665, 0, 10.0, 0, 6.7, 3.3, 29.96, 0.05, 0.66666666666666663, 0.0, 0.0, 0.0
5.866666666666667, 1.0418890660015798, 5.908846518073249, 0, 10.0, 0, 5.6, 3.3, 29.98, 0.18333333333333332, 0.18181818181818182, 0.090909090909090912, 0.0, 0.0
6.866666666666667, 1.0418890660015798, 5.908846518073249, 0, 10.0, 1, 5.0, 2.8, 29.99, 0.5833333333333334, 0.2857142857142857, 0.085714285714285715, 0.085714285714285715, 0.028571428571428571
7.866666666666667, 2.736161146605352, 7.5175409662872665, 0, 10.0, 1, 5.0, 3.3, 30.01, 1.35, 0.29629629629629628, 0.086419753086419748, 0.061728395061728392, 0.037037037037037035
8.866666666666667, 2.736161146605352, 7.5175409662872665, 0, 10.0, 0, 7.2, 3.3, 30.03, 1.2166666666666666, 0.34246575342465752, 0.041095890410958902, 0.013698630136986301, 0.0
9.866666666666667, 5.000000000000001, 8.660254037844386, 0, 10.0, 0, 8.9, 3.3, 30.04, 1.5, 0.21111111111111111, 0.044444444444444446, 0.033333333333333333, 0.011111111111111112
10.866666666666667, 13.155696691002717, 4.788282006559361, 0, 10.0, 0, 10.6, 1.1, 30.04, 0.8, 0.29166666666666669, 0.0625, 0.0, 0.0
11.866666666666667, 9.526279441628823, 5.500000000000005, 0, 10.0, 0, 12.2, -0.6, 30.03, 1.1166666666666667, 0.32835820895522388, 0.089552238805970144, 0.029850746268656716, 0.014925373134328358
12.866666666666667, 8.000000000000002, 13.856406460551018, 20.0, 10.0, 0, 12.8, -1.1, 30.02, 1.2166666666666666, 0.36986301369863012, 0.082191780821917804, 0.041095890410958902, 0.013698630136986301
13.866666666666667, 4.446261863233697, 12.216004070216808, 17.0, 10.0, 0, 13.9, -1.1, 30.01, 0.7333333333333333, 0.36363636363636365, 0.090909090909090912, 0.045454545454545456, 0.022727272727272728
14.866666666666667, 8.35623892592501, 9.958577760546715, 0, 10.0, 1, 14.4, -1.1, 30.01, 1.5166666666666666, 0.36263736263736263, 0.12087912087912088, 0.043956043956043959, 0.0
15.866666666666667, 7.660444431189778, 6.427876096865396, 0, 10.0, 1, 13.3, -1.7, 30.01, 1.3, 0.4358974358974359, 0.10256410256410256, 0.05128205128205128, 0.01282051282051282
16.866666666666667, 3.078181289931021, 8.457233587073175, 0, 10.0, 1, 12.8, -1.1, 30.02, 0.8833333333333333, 0.47169811320754718, 0.11320754716981132, 0.056603773584905662, 0.037735849056603772
17.866666666666667, 4.000000000000001, 6.928203230275509, 0, 10.0, 0, 10.0, -1.1, 30.03, 0.65, 0.5641025641025641, 0.20512820512820512, 0.076923076923076927, 0.02564102564102564
18.866666666666667, 5.362311101832844, 4.499513267805777, 0, 10.0, 0, 9.4, -1.1, 30.04, 1.6833333333333333, 0.45544554455445546, 0.089108910891089105, 0.039603960396039604, 0.019801980198019802
19.866666666666667, 1.0418890660015798, 5.908846518073249, 0, 10.0, 0, 7.8, -0.6, 30.06, 0.4166666666666667, 0.44, 0.0, 0.0, 0.0
20.866666666666667, 1.7101007166283448, 4.698463103929542, 0, 10.0, 0, 7.8, -0.6, 30.09, 1.5, 0.24444444444444444, 0.011111111111111112, 0.011111111111111112, 0.0
21.866666666666667, 4.5962666587138665, 3.8567256581192373, 0, 10.0, 0, 6.7, 0.0, 30.07, 0.9, 0.42592592592592593, 0.18518518518518517, 0.092592592592592587, 0.037037037037037035
22.866666666666667, 3.2139380484326963, 3.8302222155948904, 0, 10.0, 0, 6.1, 0.0, 30.08, 0.21666666666666667, 0.30769230769230771, 0.076923076923076927, 0.076923076923076927, 0.0
4.866666666666667, 6.128355544951822, 5.142300877492317, 0, 10.0, 0, 3.9, -0.6, 30.14, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0
5.866666666666667, 8.660254037844384, 5.000000000000004, 0, 10.0, 1, 3.9, -1.1, 30.15, 0.15, 0.55555555555555558, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111
6.866666666666667, 5.362311101832844, 4.499513267805777, 0, 10.0, 1, 3.9, -1.1, 30.18, 0.5833333333333334, 0.17142857142857143, 0.057142857142857141, 0.057142857142857141, 0.028571428571428571
7.866666666666667, 5.362311101832844, 4.499513267805777, 0, 10.0, 1, 3.9, -1.1, 30.2, 1.3666666666666667, 0.25609756097560976, 0.097560975609756101, 0.04878048780487805, 0.024390243902439025
8.866666666666667, 6.128355544951822, 5.142300877492317, 0, 10.0, 2, 6.1, -0.6, 30.23, 1.2166666666666666, 0.21917808219178081, 0.082191780821917804, 0.054794520547945202, 0.0
9.866666666666667, 6.8943999880708, 5.785088487178856, 0, 10.0, 1, 8.3, -1.1, 30.26, 1.4833333333333334, 0.21348314606741572, 0.02247191011235955, 0.011235955056179775, 0.0
10.866666666666667, 9.526279441628823, 5.500000000000005, 0, 10.0, 1, 11.1, -1.7, 30.27, 0.8, 0.4375, 0.125, 0.020833333333333332, 0.0
11.866666666666667, 9.84807753012208, 1.736481776669304, 15.0, 10.0, 1, 12.8, -2.8, 30.25, 1.1166666666666667, 0.29850746268656714, 0.11940298507462686, 0.059701492537313432, 0.029850746268656716
12.866666666666667, 9.192533317427733, 7.713451316238475, 0, 10.0, 1, 13.9, -2.8, 30.23, 1.2166666666666666, 0.27397260273972601, 0.054794520547945202, 0.027397260273972601, 0.013698630136986301
