gen, best, avg, stdev
0, -0.1601042765255367, -0.5449150150983522, 0.28682302293689516
1, -0.1601042765255367, -0.4717733103977068, 0.28243301045626135
2, -0.1601042765255367, -0.4296091541564393, 0.2776944348485035
3, -0.1601042765255367, -0.39364250136861173, 0.2648852811434136
4, -0.15271466435424066, -0.36883517898155155, 0.2598231713535864
5, -0.15271466435424066, -0.3647678987007243, 0.25780864801013326
6, -0.15271466435424066, -0.35538583730145773, 0.2533535829476676
7, -0.15271466435424066, -0.3422263355651204, 0.24796629626301617
8, -0.15271466435424066, -0.3282668270828339, 0.2401439206918266
9, -0.15271466435424066, -0.3153582986082952, 0.22765120331395847
10, -0.15271466435424066, -0.3158183960424128, 0.22911366018796087
11, -0.15271466435424066, -0.3187784948440914, 0.23289962308167472
12, -0.15271466435424066, -0.311844902285554, 0.22846463220729
13, -0.15271466435424066, -0.30839922979033757, 0.22663432993360205
14, -0.15271466435424066, -0.29613814742935357, 0.21389054027878837
15, -0.15271466435424066, -0.2981514952753323, 0.21941338924123524
16, -0.15271466435424066, -0.29660222308089634, 0.21813861154874797
17, -0.15271466435424066, -0.2866607763896897, 0.20652194000498592
18, -0.15271466435424066, -0.283927925762427, 0.20545704408845483
19, -0.15271466435424066, -0.2874941908872909, 0.2075825347089488
20, -0.15271466435424066, -0.28789558062696763, 0.21003654858913537
21, -0.15271466435424066, -0.28746790554761076, 0.21122292364941
22, -0.15271466435424066, -0.2839538743237405, 0.2057470316217081
23, -0.15271466435424066, -0.28161180288564286, 0.20440567644111082
24, -0.15271466435424066, -0.2678229075228775, 0.18584259365339273
25, -0.15271466435424066, -0.2865003640635083, 0.2099802601016536
26, -0.15271466435424066, -0.2716542036374907, 0.19066543278795742
27, -0.15271466435424066, -0.27214303050600874, 0.19357962719754224
28, -0.15271466435424066, -0.2707318167409933, 0.19163567433411052
29, -0.15271466435424066, -0.2700173012099956, 0.1914936182699774
30, -0.15271466435424066, -0.2704980147034784, 0.1908977445456791
31, -0.15271466435424066, -0.2701290488229463, 0.19210623157808512
32, -0.15271466435424066, -0.273324674954042, 0.19514698333153452
33, -0.15271466435424066, -0.26690162169251613, 0.18858176474533334
34, -0.15271466435424066, -0.2676949675882214, 0.18895101530194855
35, -0.15271466435424066, -0.2659477169228373, 0.1844570803664408
36, -0.15271466435424066, -0.2658062297097872, 0.18574315433357824
37, -0.15271466435424066, -0.27317705324954056, 0.1962427782313042
38, -0.15271466435424066, -0.26949381005899903, 0.19103835826042662
39, -0.15271466435424066, -0.2569305689268294, 0.1740168878145278
40, -0.15271466435424066, -0.2590352241802293, 0.1786059779811675
41, -0.15271466435424066, -0.2650249531683333, 0.18432427655524172
42, -0.15271466435424066, -0.2586876121053737, 0.17531784168734924
43, -0.15271466435424066, -0.2592845616077976, 0.17739183706864645
44, -0.15271466435424066, -0.25386405970508175, 0.16776952154139127
45, -0.15271466435424066, -0.26558908406628307, 0.188475566713656
46, -0.15271466435424066, -0.261955064229498, 0.18175467600575596
47, -0.15271466435424066, -0.26362293846472534, 0.18590805354960088
48, -0.15271466435424066, -0.2559158309523182, 0.174316496021306
49, -0.15271466435424066, -0.2605805112978949, 0.17739891137038016
50, -0.15271466435424066, -0.2695077775371397, 0.1926347269074952
51, -0.15271466435424066, -0.26022918561190334, 0.17958770319860512
52, -0.15271466435424066, -0.25442637308735905, 0.1701066165233898
53, -0.15271466435424066, -0.2597126040919146, 0.1781201211250327
54, -0.15271466435424066, -0.25510030943051004, 0.17005792061445651
55, -0.15271466435424066, -0.25574553172879866, 0.17322010676738595
