gen, best, avg, stdev
0, -0.16886290880770968, -0.55812640932738, 0.2857220749216298
1, -0.1626275508943429, -0.49292674714753637, 0.2843034309224335
2, -0.15761785950305057, -0.45652665397724895, 0.28342716532092505
3, -0.15761785950305057, -0.41295469337017754, 0.27020670873517827
4, -0.15761785950305057, -0.3883990960896115, 0.26880266868873365
5, -0.15761785950305057, -0.37245713706305444, 0.25878776659350816
6, -0.15761785950305057, -0.37051973063297783, 0.2569098067177388
7, -0.15761785950305057, -0.3562860082618189, 0.2543346525701438
8, -0.15761785950305057, -0.36479028626641474, 0.26060734397850116
9, -0.15761785950305057, -0.3532601463086569, 0.2549913358165246
10, -0.15761785950305057, -0.34466032065563795, 0.25021594405231024
11, -0.15761785950305057, -0.34431540397813987, 0.25264238658529053
12, -0.15761785950305057, -0.3389271257459135, 0.24688039668575068
13, -0.15761785950305057, -0.3210367795256189, 0.23522574308330477
14, -0.15761785950305057, -0.3345969563866362, 0.2463211815390192
15, -0.15761785950305057, -0.33025186914353954, 0.24246282202970434
16, -0.15761785950305057, -0.3282951252031879, 0.2438660360102816
17, -0.15761785950305057, -0.3153027228855229, 0.23133414074899397
18, -0.15761785950305057, -0.3147983541574097, 0.23223245798011172
19, -0.15761785950305057, -0.31202334010118343, 0.22740605103559436
20, -0.15761785950305057, -0.3180230425917189, 0.23332820439131288
21, -0.15761785950305057, -0.31484028487834265, 0.23170042225582618
22, -0.15699518294524695, -0.3056821933254949, 0.22448029930433355
23, -0.15699518294524695, -0.3122025001826879, 0.23199330161031456
24, -0.15699518294524695, -0.3009311018764261, 0.220461393516247
25, -0.15699518294524695, -0.3030834703267358, 0.22221285696182225
26, -0.15699518294524695, -0.3051820123072312, 0.22480877151461912
27, -0.15699518294524695, -0.3038667117635414, 0.22661926846276878
28, -0.15699518294524695, -0.3065238305722751, 0.23029041772417072
29, -0.15699518294524695, -0.291045657641468, 0.21261249442505584
30, -0.15699518294524695, -0.30478690640889894, 0.2262674833825648
31, -0.15699518294524695, -0.29703789266015684, 0.21804646235245742
32, -0.15699518294524695, -0.29764674519273343, 0.22137694884725437
33, -0.15699518294524695, -0.29308113601194924, 0.21550302053380566
34, -0.15699518294524695, -0.3052580314300101, 0.22584437003304017
35, -0.15699518294524695, -0.29766660560862196, 0.21847161148518265
36, -0.15699518294524695, -0.29176736876772025, 0.21158391043027547
37, -0.15699518294524695, -0.29408870331957976, 0.215839903411757
38, -0.15699518294524695, -0.29386826281625517, 0.21479256002548028
39, -0.15699518294524695, -0.2941344928239286, 0.2170133719060725
40, -0.15699518294524695, -0.2976696395281194, 0.22176127246470567
41, -0.15699518294524695, -0.2973152025908339, 0.2184348499288547
